id,category_id,en,pronunciation_si,meaning_si,level
i-need-to-stop-second-guessing,s-transportation,I need to stop second-guessing myself.,අයි නීඩ් ට ස්ටොප් සෙකන්ඩ් ගෙසිං මයිසෙල්ෆ්.,මගේම තීරණ ගැන ආයෙ ආයෙ සැක කරන එක නවත්තන්න ඕන.,intermediate
ill-deal-with-it-when-the,s-business,I'll deal with it when the time comes.,අයිල් ඩීල් විත් ඉට් වෙන් ද ටයිම් කම්ස්.,වෙලාව ආවම මං ඒක බලාගන්නම්.,intermediate
theres-no-point-worrying-about-it,s-everyday-conversations,There's no point worrying about it now.,දෙයාර්ස් නෝ පොයින්ට් වරිං අබවුට් ඉට් නව්.,දැන් ඒ ගැන වද වෙලා වැඩක් නෑ.,intermediate
i-wonder-if-anyone-else-noticed,s-everyday-conversations,I wonder if anyone else noticed that.,අයි වන්ඩර් ඉෆ් එනිවන් එල්ස් නෝටිස්ට් දැට්.,වෙන කවුරුහරිත් ඒක දැක්කද දන්නෙ නෑ.,intermediate
that-explains-a-lot,s-everyday-conversations,That explains a lot.,දැට් එක්ස්ප්ලේන්ස් අ ලොට්.,එහෙනම් ගොඩක් දේවල් දැන් පැහැදිලියි.,beginner
why-didnt-i-think-of-that,s-asking-questions,Why didn't I think of that before?,වයි ඩිඩන්ට් අයි තිංක් අව් දැට් බිෆෝර්?,මට කලින් ඒක හිතුණෙ නැත්තේ ඇයි?,intermediate
i-could-be-completely-wrong-about,s-problems-complaints,I could be completely wrong about this.,අයි කුඩ් බී කම්ප්ලීට්ලි රෝං අබවුට් දිස්.,මේ ගැන මං සම්පූර්ණයෙන්ම වැරදි වෙන්නත් පුළුවන්.,intermediate
i-need-to-trust-my-instincts,s-everyday-conversations,I need to trust my instincts more.,අයි නීඩ් ට ට්‍රස්ට් මයි ඉන්ස්ටිංක්ට්ස් මෝර්.,මගේ ඇතුළතින් එන හැඟීම තව ටිකක් විශ්වාස කරන්න ඕන.,intermediate
something-tells-me-this-wont-be,s-everyday-conversations,Something tells me this won't be easy.,සම්තිං ටෙල්ස් මී දිස් වෝන්ට් බී ඊසි.,මේක ලේසි වෙන්නේ නෑ කියලා මට නිකන් හිතෙනවා.,intermediate
im-curious-to-see-how-this,s-everyday-conversations,I'm curious to see how this turns out.,අයිම් කියුරියස් ට සී හව් දිස් ටර්න්ස් අවුට්.,අන්තිමට මේක කොහොම වෙයිද කියලා බලන්න මට ආසයි.,intermediate
i-shouldnt-let-one-mistake-ruin,s-problems-complaints,I shouldn't let one mistake ruin my day.,අයි ෂුඩන්ට් ලෙට් වන් මිස්ටේක් රූවින් මයි ඩේ.,එක වැරැද්දක් නිසා මුළු දවසම අවුල් කරගන්න හොඳ නෑ.,intermediate
i-can-always-try-again,s-everyday-conversations,I can always try again.,අයි කැන් ඕල්වේස් ට්‍රයි අගේන්.,මට ආයෙත් උත්සාහ කරන්න පුළුවන්.,beginner
im-getting-ahead-of-myself,s-everyday-conversations,I'm getting ahead of myself.,අයිම් ගෙටිං අහෙඩ් අව් මයිසෙල්ෆ්.,මං වෙන්නත් කලින් දේවල් ගැන ඕනවට වඩා ඉස්සරහට හිතනවා.,beginner
one-thing-at-a-time,s-everyday-conversations,One thing at a time.,වන් තින් ඇට් අ ටයිම්.,එක වෙලාවකට එක දෙයක් කරමු.,beginner
ill-cross-that-bridge-when-i,s-everyday-conversations,I'll cross that bridge when I come to it.,අයිල් ක්‍රොස් දැට් බ්‍රිජ් වෙන් අයි කම් ටු ඉට්.,ඒ ප්‍රශ්නය ආවම ඒ වෙලාවේ බලාගන්නම්.,intermediate
i-need-to-clear-my-head,s-everyday-conversations,I need to clear my head.,අයි නීඩ් ටු ක්ලියර් මයි හෙඩ්.,මට ටිකක් නිදහසේ ඉඳලා හිත සැහැල්ලු කරගන්න ඕන.,intermediate
maybe-im-being-too-hard-on,s-everyday-conversations,Maybe I'm being too hard on myself.,මේබි අයිම් බීඉං ටූ හාඩ් ඔන් මයිසෙල්ෆ්.,සමහරවිට මං මටම ඕනවට වඩා තදින් සලකනවා ඇති.,intermediate
i-handled-that-better-than-i,s-everyday-conversations,I handled that better than I expected.,අයි හැන්ඩල්ඩ් දැට් බෙටර් දෑන් අයි එක්ස්පෙක්ටිඩ්.,මං හිතුවට වඩා හොඳට ඒක කළමනාකරණය කරගත්තා.,intermediate
i-wish-id-said-something-sooner,s-everyday-conversations,I wish I'd said something sooner.,අයි විෂ් අයිඩ් සෙඩ් සම්තිං සූනර්.,මට මීට කලින් මොනවාහරි කියන්න තිබුණා.,intermediate
theres-nothing-i-can-do-about,s-everyday-conversations,There's nothing I can do about it now.,දෙයාර්ස් නතිං අයි කැන් ඩූ අබවුට් ඉට් නව්.,දැන් ඒ ගැන මට කරන්න දෙයක් නෑ.,intermediate
i-might-as-well-give-it,s-everyday-conversations,I might as well give it a shot.,අයි මයිට් ඇස් වෙල් ගිව් ඉට් අ ෂොට්.,කොහොමත් එක පාරක් උත්සාහ කරලා බලන එක හොඳයි.,intermediate
i-dont-have-to-decide-right,s-everyday-conversations,I don't have to decide right away.,අයි ඩෝන්ට් හැව් ට ඩිසයිඩ් රයිට් අවේ.,මට මේ දැන්ම තීරණයක් ගන්න ඕන නෑ.,intermediate
this-could-actually-work,s-work-office,This could actually work.,දිස් කුඩ් ඇක්චුවලි වර්ක්.,මේක ඇත්තටම හරියන්න පුළුවන්.,beginner
im-probably-making-a-bigger-deal,s-business,I'm probably making a bigger deal out of this than necessary.,අයිම් ප්‍රොබබ්ලි මේකිං අ බිගර් ඩීල් අවුට් අව් දිස් දෑන් නෙසෙසරි.,සමහරවිට මං මේක ඕනවට වඩා ලොකු කරගෙන ඇති.,advanced
i-need-to-keep-things-in,s-giving-opinions,I need to keep things in perspective.,අයි නීඩ් ට කීප් තිංස් ඉන් පර්ස්පෙක්ටිව්.,දේවල් ඇත්තටම තියෙන ප්‍රමාණයටම බලන්න මං පුරුදු වෙන්න ඕන.,intermediate
lets-see-where-this-goes,s-everyday-conversations,Let's see where this goes.,ලෙට්ස් සී වෙයාර් දිස් ගෝස්.,මේක කොහෙටද යන්නේ බලමු.,beginner
i-didnt-expect-that-at-all,s-everyday-conversations,I didn't expect that at all.,අයි ඩිඩන්ට් එක්ස්පෙක්ට් දැට් ඇට් ඕල්.,මං ඒක කොහෙත්ම බලාපොරොත්තු වුණේ නෑ.,intermediate
that-caught-me-off-guard,s-phrasal-verbs,That caught me off guard.,දැට් කෝට් මී ඔෆ් ගාඩ්.,ඒක එකපාරටම වෙලා මාව අන්දමන්ද කළා.,beginner
now-that-i-think-about-it,s-everyday-conversations,"Now that I think about it, it makes sense.","නව් දැට් අයි තිංක් අබවුට් ඉට්, ඉට් මේක්ස් සෙන්ස්.",දැන් හිතලා බලද්දි ඒක හරි වගේ.,intermediate
i-knew-something-was-up,s-everyday-conversations,I knew something was up.,අයි නූ සම්තිං වස් අප්.,මොකක්හරි දෙයක් වෙනවා කියලා මට හිතුණා.,beginner
i-shouldnt-read-too-much-into,s-everyday-conversations,I shouldn't read too much into it.,අයි ෂුඩන්ට් රීඩ් ටූ මච් ඉන්ටු ඉට්.,ඒ පොඩි දේට ඕනවට වඩා අර්ථ දාගන්න හොඳ නෑ.,intermediate
maybe-it-was-just-a-coincidence,s-everyday-conversations,Maybe it was just a coincidence.,මේබි ඉට් වස් ජස්ට් අ කොඉන්සිඩන්ස්.,සමහරවිට ඒක අහම්බෙන් වෙච්ච දෙයක් විතරයි.,intermediate
i-have-a-feeling-ive-forgotten,s-feelings-emotions,I have a feeling I've forgotten something.,අයි හැව් අ ෆීලිං අයිව් ෆර්ගොටන් සම්තිං.,මට මොකක්හරි අමතක වෙලා වගේ දැනෙනවා.,intermediate
what-was-i-about-to-do,s-asking-questions,What was I about to do?,වට් වස් අයි අබවුට් ට ඩූ?,මං දැන් මොකක්ද කරන්න ගියේ?,intermediate
where-did-i-put-that-thing,s-asking-questions,Where did I put that thing?,වෙයා ඩිඩ් අයි පුට් දැට් තිං?,මං ඒක කොහෙද තිබ්බේ?,intermediate
it-was-right-here-a-second,s-everyday-conversations,It was right here a second ago.,ඉට් වස් රයිට් හියර් අ සෙකන්ඩ් අගෝ.,දැන් ටිකකට කලින් ඒක මෙතනම තිබුණනේ.,intermediate
i-really-need-to-organize-this,s-everyday-conversations,I really need to organize this place.,අයි රියලි නීඩ් ට ඕගනයිස් දිස් ප්ලේස්.,මේ තැන හරියට අස්පස් කරගන්නම ඕන.,intermediate
ill-do-it-before-i-forget,s-everyday-conversations,I'll do it before I forget again.,අයිල් ඩූ ඉට් බිෆෝර් අයි ෆර්ගෙට් අගේන්.,ආයෙ අමතක වෙන්න කලින් මං ඒක කරන්නම්.,intermediate
im-running-a-little-behind-today,s-everyday-conversations,I'm running a little behind today.,අයිම් රනිං අ ලිට්ල් බිහයින්ඩ් ටුඩේ.,අද මගේ වැඩ ටික ටිකක් පරක්කු වෙලා යන්නේ.,intermediate
i-still-have-plenty-of-time,s-everyday-conversations,I still have plenty of time.,අයි ස්ටිල් හැව් ප්ලෙන්ටි අව් ටයිම්.,මට තාම හොඳටම වෙලාව තියෙනවා.,intermediate
i-should-get-going-soon,s-everyday-conversations,I should get going soon.,අයි ෂුඩ් ගෙට් ගෝඉං සූන්.,මං දැන් ටිකකින් පිටත් වෙන්න ඕන.,beginner
ill-finish-this-first,s-everyday-conversations,I'll finish this first.,අයිල් ෆිනිෂ් දිස් ෆර්ස්ට්.,මං මුලින් මේක ඉවර කරන්නම්.,beginner
i-can-deal-with-the-rest,s-business,I can deal with the rest later.,අයි කැන් ඩීල් විත් ද රෙස්ට් ලේටර්.,ඉතුරු ටික පස්සේ බලාගන්න පුළුවන්.,intermediate
im-more-tired-than-i-realized,s-feelings-emotions,I'm more tired than I realized.,අයිම් මෝර් ටයර්ඩ් දෑන් අයි රියලයිස්ඩ්.,මං හිතුවට වඩා මට මහන්සියි.,intermediate
a-short-break-might-do-me,s-everyday-conversations,A short break might do me good.,අ ෂෝට් බ්‍රේක් මයිට් ඩූ මී ගුඩ්.,පොඩි විවේකයක් ගත්තොත් මට හොඳ වෙයි.,intermediate
i-need-to-get-back-into,s-everyday-conversations,I need to get back into the swing of things.,අයි නීඩ් ට ගෙට් බැක් ඉන්ටු ද ස්විං අව් තිංස්.,මං ආයෙත් මගේ සාමාන්‍ය වැඩ රටාවට වැටෙන්න ඕන.,intermediate
ive-been-putting-this-off-long,s-everyday-conversations,I've been putting this off long enough.,අයිව් බීන් පුටිං දිස් ඔෆ් ලෝං ඉනෆ්.,මං මේක ඕනවටත් වඩා කල් දාලා තියෙනවා.,intermediate
i-might-regret-it-if-i,s-everyday-conversations,I might regret it if I don't do it now.,අයි මයිට් රිග්‍රෙට් ඉට් ඉෆ් අයි ඩෝන්ට් ඩූ ඉට් නව්.,දැන් මේක නොකළොත් පස්සේ පසුතැවෙන්න වෙයි.,intermediate
i-need-to-make-up-my,s-everyday-conversations,I need to make up my mind.,අයි නීඩ් ටු මේක් අප් මයි මයින්ඩ්.,මං තීරණයක් ගන්න ඕන.,intermediate
both-options-have-their-advantages,s-everyday-conversations,Both options have their advantages.,බෝත් ඔප්ෂන්ස් හැව් දෙයා ඇඩ්වාන්ටේජස්.,තේරීම් දෙකේම හොඳ පැති තියෙනවා.,beginner
which-one-makes-more-sense-in,s-everyday-conversations,Which one makes more sense in the long run?,විච් වන් මේක්ස් මෝර් සෙන්ස් ඉන් ද ලෝං රන්?,දිගු කාලෙට බලද්දි වඩා හොඳ එක මොකක්ද?,intermediate
i-shouldnt-rush-into-anything,s-everyday-conversations,I shouldn't rush into anything.,අයි ෂුඩන්ට් රෂ් ඉන්ටු එනිතිං.,මං හදිස්සි වෙලා කිසිම දෙයක් කරන්න හොඳ නෑ.,beginner
ill-give-myself-some-time-to,s-everyday-conversations,I'll give myself some time to think.,අයිල් ගිව් මයිසෙල්ෆ් සම් ටයිම් ට තිංක්.,මං මටම ටිකක් හිතන්න වෙලාව දෙන්නම්.,intermediate
deep-down-i-already-know-the,s-everyday-conversations,"Deep down, I already know the answer.","ඩීප් ඩවුන්, අයි ඕල්රෙඩි නෝ දි ආන්සර්.",ඇතුළතින් බැලුවම උත්තරේ මං දැනටමත් දන්නවා.,intermediate
im-just-afraid-of-making-the,s-problems-complaints,I'm just afraid of making the wrong choice.,අයිම් ජස්ට් අෆ්‍රේඩ් අව් මේකිං ද රෝං චොයිස්.,මට බය වැරදි තේරීමක් කරයි කියලා විතරයි.,intermediate
no-decision-is-completely-risk-free,s-everyday-conversations,No decision is completely risk-free.,නෝ ඩිසිෂන් ඉස් කම්ප්ලීට්ලි රිස්ක් ෆ්‍රී.,කිසිම තීරණයක් සම්පූර්ණයෙන්ම අවදානමක් නැති එකක් නෙවෙයි.,beginner
i-can-only-work-with-what,s-work-office,I can only work with what I know right now.,අයි කැන් ඕන්ලි වර්ක් විත් වට් අයි නෝ රයිට් නව්.,දැනට මං දන්න දේ අනුව තමයි මට වැඩ කරන්න වෙන්නේ.,intermediate
if-it-doesnt-work-ill-adjust,s-problems-complaints,"If it doesn't work, I'll adjust.","ඉෆ් ඉට් ඩසන්ට් වර්ක්, අයිල් අජස්ට්.",ඒක හරි ගියේ නැත්නම් මං ඒකට අනුව වෙනස් වෙන්නම්.,intermediate
nothing-is-set-in-stone-yet,s-everyday-conversations,Nothing is set in stone yet.,නතිං ඉස් සෙට් ඉන් ස්ටෝන් යෙට්.,තාම කිසි දෙයක් අනිවාර්යයෙන්ම එහෙමම වෙන්න නියම වෙලා නෑ.,intermediate
i-can-change-my-mind-later,s-banking-money,I can change my mind later.,අයි කැන් චේන්ජ් මයි මයින්ඩ් ලේටර්.,පස්සේ මගේ තීරණය වෙනස් කරන්නත් පුළුවන්.,intermediate
i-should-focus-on-what-i,s-everyday-conversations,I should focus on what I can control.,අයි ෂුඩ් ෆෝකස් ඔන් වට් අයි කැන් කන්ට්‍රෝල්.,මට පාලනය කරන්න පුළුවන් දේවල් ගැන හිතන එක හොඳයි.,intermediate
the-rest-will-sort-itself-out,s-everyday-conversations,The rest will sort itself out.,ද රෙස්ට් විල් සෝර්ට් ඉට්සෙල්ෆ් අවුට්.,ඉතුරු දේවල් කොහොමහරි හරි යයි.,intermediate
im-slowly-getting-the-hang-of,s-everyday-conversations,I'm slowly getting the hang of this.,අයිම් ස්ලෝලි ගෙටිං ද හැං අව් දිස්.,මට මේක කරන හැටි ටික ටික අල්ලගන්න පුළුවන් වෙනවා.,intermediate
it-felt-awkward-at-first,s-everyday-conversations,It felt awkward at first.,ඉට් ෆෙල්ට් ඕක්වර්ඩ් ඇට් ෆර්ස්ට්.,මුලදී ඒක ටිකක් අමුතුයි වගේ දැනුණා.,beginner
the-more-i-do-it-the,s-everyday-conversations,"The more I do it, the easier it gets.","ද මෝර් අයි ඩූ ඉට්, දි ඊසියර් ඉට් ගෙට්ස්.",මං වැඩි වැඩියෙන් කරන තරමට ඒක ලේසි වෙනවා.,intermediate
i-dont-need-to-get-everything,s-everyday-conversations,I don't need to get everything perfect.,අයි ඩෝන්ට් නීඩ් ට ගෙට් එව්රිතිං පර්ෆෙක්ට්.,හැම දෙයක්ම අකුරටම හරි කරන්න ඕන නෑ.,intermediate
making-mistakes-is-part-of-figuring,s-everyday-conversations,Making mistakes is part of figuring things out.,මේකිං මිස්ටේක්ස් ඉස් පාර්ට් අව් ෆිගරිං තිංස් අවුට්.,වැරදි කරන එකත් දේවල් ඉගෙනගෙන තේරුම් ගන්න එකේ කොටසක්.,intermediate
i-understand-it-better-than-i,s-everyday-conversations,I understand it better than I can explain it.,අයි අන්ඩර්ස්ටෑන්ඩ් ඉට් බෙටර් දෑන් අයි කැන් එක්ස්ප්ලේන් ඉට්.,මට ඒක පැහැදිලි කරන්න පුළුවන් තරමට වඩා හොඳට තේරෙනවා.,intermediate
how-would-i-explain-this-in,s-asking-questions,How would I explain this in my own words?,හව් වුඩ් අයි එක්ස්ප්ලේන් දිස් ඉන් මයි ඕන් වර්ඩ්ස්?,මගේම වචනවලින් මේක පැහැදිලි කරන්නේ කොහොමද?,intermediate
whats-the-simplest-way-to-describe,s-asking-questions,What's the simplest way to describe it?,වට්ස් ද සිම්ප්ලස්ට් වේ ට ඩිස්ක්‍රයිබ් ඉට්?,මේක විස්තර කරන්න සරලම විදිහ මොකක්ද?,intermediate
i-know-what-i-mean-i,s-everyday-conversations,I know what I mean; I just need the words.,අයි නෝ වට් අයි මීන්; අයි ජස්ට් නීඩ් ද වර්ඩ්ස්.,මට කියන්න ඕන දේ දන්නවා; ඒකට හරි වචන ටිකයි ඕන.,intermediate
theres-a-word-for-this-but,s-everyday-conversations,"There's a word for this, but I can't remember it.","දෙයාර්ස් අ වර්ඩ් ෆෝර් දිස්, බට් අයි කෑන්ට් රිමෙම්බර් ඉට්.","මේකට වචනයක් තියෙනවා, ඒත් මට ඒක මතක් වෙන්නේ නෑ.",intermediate
ill-describe-it-another-way,s-everyday-conversations,I'll describe it another way.,අයිල් ඩිස්ක්‍රයිබ් ඉට් අනදර් වේ.,මං ඒක වෙන විදිහකට විස්තර කරන්නම්.,beginner
i-dont-need-the-perfect-word,s-everyday-conversations,I don't need the perfect word to keep talking.,අයි ඩෝන්ට් නීඩ් ද පර්ෆෙක්ට් වර්ඩ් ට කීප් ටෝකිං.,කතාව දිගටම කරගෙන යන්න හරියටම ගැළපෙන වචනයම ඕන නෑ.,intermediate
ill-say-whatever-comes-naturally,s-everyday-conversations,I'll say whatever comes naturally.,අයිල් සේ වටෙවර් කම්ස් නැචරලි.,ස්වාභාවිකව මතක් වෙන දේ මං කියන්නම්.,beginner
i-can-rephrase-it-if-i,s-everyday-conversations,I can rephrase it if I need to.,අයි කැන් රීෆ්‍රේස් ඉට් ඉෆ් අයි නීඩ් ට.,ඕන වුණොත් ඒක වෙන වචනවලින් කියන්න පුළුවන්.,intermediate
what-exactly-am-i-reacting-to,s-agreeing-disagreeing,What exactly am I reacting to?,වට් එක්සැක්ට්ලි ඇම් අයි රියැක්ටිං ටු?,මං ඇත්තටම මේ විදිහට ප්‍රතිචාර දක්වන්නේ මොන දේටද?,intermediate
why-did-that-bother-me-so,s-asking-questions,Why did that bother me so much?,වයි ඩිඩ් දැට් බොදර් මී සෝ මච්?,ඒක මගේ හිතට මෙච්චර වද දුන්නේ ඇයි?,intermediate
maybe-i-took-it-too-personally,s-everyday-conversations,Maybe I took it too personally.,මේබි අයි ටුක් ඉට් ටූ පර්සනලි.,සමහරවිට මං ඒක ඕනවට වඩා මටම කියපු දෙයක් වගේ ගත්තා.,intermediate
they-may-not-have-meant-it,s-everyday-conversations,They may not have meant it that way.,දේ මේ නොට් හැව් මෙන්ට් ඉට් දැට් වේ.,එයා ඒ අදහසින් ඒක කිව්වේ නැති වෙන්න පුළුවන්.,intermediate
i-should-hear-them-out-first,s-everyday-conversations,I should hear them out first.,අයි ෂුඩ් හියර් දෙම් අවුට් ෆර්ස්ට්.,මං මුලින් එයා කියන දේ සම්පූර්ණයෙන් අහලා ඉන්න ඕන.,intermediate
theres-always-another-side-to-the,s-everyday-conversations,There's always another side to the story.,දෙයාර්ස් ඕල්වේස් අනදර් සයිඩ් ට ද ස්ටෝරි.,හැම කතාවකටම තව පැත්තක් තියෙනවා.,intermediate
i-wonder-what-theyre-thinking,s-everyday-conversations,I wonder what they're thinking.,අයි වන්ඩර් වට් දෙයා තිංකිං.,එයාලා මොනවා හිතනවද දන්නෙ නෑ.,beginner
maybe-theyre-having-a-rough-day,s-everyday-conversations,Maybe they're having a rough day.,මේබි දෙයා හැවිං අ රෆ් ඩේ.,සමහරවිට එයාලට අද අමාරු දවසක් වෙන්න ඇති.,intermediate
i-shouldnt-assume-the-worst,s-everyday-conversations,I shouldn't assume the worst.,අයි ෂුඩන්ට් අසූම් ද වර්ස්ට්.,නරකම දේ තමයි වෙලා තියෙන්නේ කියලා හිතාගන්න හොඳ නෑ.,beginner
ill-wait-until-i-know-more,s-everyday-conversations,I'll wait until I know more.,අයිල් වේට් අන්ටිල් අයි නෝ මෝර්.,තව විස්තර දැනගන්නකම් මං ඉන්නම්.,intermediate
that-was-an-interesting-way-to,s-everyday-conversations,That was an interesting way to put it.,දැට් වස් ඇන් ඉන්ට්‍රස්ටිං වේ ට පුට් ඉට්.,ඒක කියපු විදිහ නම් වෙනස්ම විදිහක්.,intermediate
i-hadnt-thought-about-it-like,s-everyday-conversations,I hadn't thought about it like that.,අයි හැඩන්ට් තෝට් අබවුට් ඉට් ලයික් දැට්.,මං ඒ පැත්තෙන් ඒ ගැන හිතලා තිබුණේ නෑ.,intermediate
they-might-actually-have-a-point,s-everyday-conversations,They might actually have a point.,දේ මයිට් ඇක්චුවලි හැව් අ පොයින්ට්.,එයාලා කියන දේත් ඇත්තක් තියෙන්න පුළුවන්.,intermediate
i-dont-necessarily-agree-though,s-agreeing-disagreeing,"I don't necessarily agree, though.","අයි ඩෝන්ට් නෙසෙසරිලි අග්‍රී, දෝ.",ඒත් මං අනිවාර්යයෙන්ම ඒකට එකඟයි කියලා නෑ.,beginner
i-need-more-context-before-i,s-everyday-conversations,I need more context before I judge.,අයි නීඩ් මෝර් කොන්ටෙක්ස්ට් බිෆෝර් අයි ජජ්.,තීරණයකට එන්න කලින් මට තව පසුබිම් විස්තර ඕන.,intermediate
maybe-theres-something-im-not-seeing,s-everyday-conversations,Maybe there's something I'm not seeing.,මේබි දෙයාර්ස් සම්තිං අයිම් නොට් සීඉං.,සමහරවිට මට නොපෙනෙන පැත්තක් තියෙනවා.,intermediate
its-worth-thinking-about,s-everyday-conversations,It's worth thinking about.,ඉට්ස් වර්ත් තිංකිං අබවුට්.,ඒ ගැන හිතලා බලන එක වටිනවා.,beginner
im-not-ready-to-dismiss-the,s-everyday-conversations,I'm not ready to dismiss the idea yet.,අයිම් නොට් රෙඩි ට ඩිස්මිස් දි අයිඩියා යෙට්.,ඒ අදහස වැඩක් නෑ කියලා දැන්ම අයින් කරන්න මං සූදානම් නෑ.,intermediate
ill-keep-an-open-mind,s-everyday-conversations,I'll keep an open mind.,අයිල් කීප් ඇන් ඕපන් මයින්ඩ්.,මං කලින්ම තීරණය නොකර විවෘතව හිතන්නම්.,beginner
